"PEUGEOT";"N/A";"N/A";"5,6";"9,1";"N/A";"0";"0";"N/A";"N/A";"3,2";"2,7";"N/A";"0";"0";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"8,8";"0";"8,8";"25,42%";"N/A"
"PPR";"KPMG";"4,085";"3,777";"6,228";"0,44";"0,484";"0,362";"Deloitte";"7,289";"3,5";"3,494";"0,841";"0,766";"0,51";"11,374";"1,281";"12,655";"10,12%";"56,30%";"2,48%";"48,41%";"7,277";"1,25";"8,527";"25,15%";"43,35%"
"PUBLICIS";"E&Y";"6,7";"6,4";"5";"0,3";"0,1";"0,5";"Mazars";"4,4";"4,1";"3,9";"0";"0,1";"0,1";"11,1";"0,3";"11,4";"2,63%";"5,71%";"50,00%";"6,54%";"10,5";"0,2";"10,7";"17,98%";"66,67%"
"RENAULT";"E&Y";"5,691";"5,12";"4,829";"0,083";"0,07";"0,08";"Deloitte";"7,385";"7,196";"6,969";"0,125";"0,157";"0,193";"13,076";"0,208";"13,284";"1,57%";"6,17%";"8,37%";"5,91%";"12,316";"0,227";"12,543";"4,39%";"16,85%"
"SAFRAN";"E&Y";"3,96";"3,44";"N/A";"0";"0,15";"N/A";"Mazars";"4,23";"4,7";"N/A";"0";"0";"N/A";"8,19";"0";"8,19";"0,00%";"0,61%";"100,00%";"1,21%";"8,14";"0,15";"8,29";"N/A";"N/A"
"SAINTGOBAIN";"PWC";"12,2";"11,9";"11,2";"0,2";"0,2";"0,2";"KPMG";"10,8";"11";"11,5";"0";"0,1";"0";"23";"0,2";"23,2";"0,86%";"0,44%";"N/A";"0,00%";"22,9";"0,3";"23,2";"0,88%";"50,00%"
"SANOFI";"PWC";"16,8";"19,2";"14,2";"0,1";"0,4";"0,3";"E&Y";"15,9";"14,6";"13,8";"0,1";"0,1";"0,1";"32,7";"0,2";"32,9";"0,61%";"3,25%";"60,00%";"4,08%";"33,8";"0,5";"34,3";"20,71%";"25,00%"
"SCHNEIDER";"Mazars";"7,736";"7,563";"6,658";"0";"0";"0,003";"E&Y";"11,192";"10,71";"9,509";"0,233";"0,212";"0,211";"18,928";"0,233";"19,161";"1,22%";"3,58%";"9,91%";"3,66%";"18,273";"0,212";"18,485";"13,03%";"0,93%"
"SOCIETEGENERALE";"E&Y";"18,389";"18,576";"16,109";"0,165";"0,042";"0";"Deloitte";"17,59";"17,891";"17,054";"0,007";"0,002";"0,079";"35,979";"0,172";"36,151";"0,48%";"1,34%";"290,91%";"0,99%";"36,467";"0,044";"36,511";"9,96%";"44,30%"
"SOLVAY*";"Deloitte";"1,146";"N/A";"N/A";"0";"N/A";"N/A";"1,146";"0";"1,146";"0,00%";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"STMICROELECTR.*";"PWC";"5,202";"5,204";"5,275";"0,027";"0,026";"0,052";"5,202";"0,027";"5,229";"0,52%";"0,04%";"3,85%";"0,02%";"5,204";"0,026";"5,23";"1,35%";"50,00%"
"SUEZENVIRON.";"N/A";"N/A";"N/A";"8,779";"N/A";"N/A";"0,283";"N/A";"N/A";"N/A";"3,639";"N/A";"N/A";"0,001";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"TECHNIP";"E&Y";"3,466";"3,304";"2,867";"0,89";"0,526";"0,943";"PWC";"2,744";"2,751";"2,434";"0,095";"0,075";"0,149";"6,21";"0,985";"7,195";"13,69%";"2,56%";"63,89%";"8,10%";"6,055";"0,601";"6,656";"14,22%";"44,96%"
"TOTAL";"KPMG";"18,1";"17,9";"18,7";"1,8";"1,8";"1,3";"E&Y";"20,1";"17,5";"15,9";"2,2";"1,6";"1,9";"38,2";"4";"42,2";"9,48%";"7,91%";"17,65%";"8,76%";"35,4";"3,4";"38,8";"2,31%";"6,25%"
"UNIBAILRODAMCO";"E&Y";"2";"1,6";"2,5";"0";"0";"0";"Deloitte";"1,2";"1";"1";"0";"0";"0";"3,2";"0";"3,2";"0,00%";"23,08%";"N/A";"23,08%";"2,6";"0";"2,6";"25,71%";"N/A"
"VALLOUREC";"KPMG";"1,081";"1,122";"1,068";"0";"0";"0,049";"Deloitte";"1,649";"1,731";"1,605";"0";"0";"0";"2,73";"0";"2,73";"0,00%";"4,31%";"N/A";"4,31%";"2,853";"0";"2,853";"6,73%";"N/A"
"VEOLIA";"KPMG";"15";"15";"16,7";"0";"0";"0";"E&Y";"13,3";"13,4";"18";"0";"0";"0";"28,3";"0";"28,3";"0,00%";"0,35%";"N/A";"0,35%";"28,4";"0";"28,4";"18,16%";"N/A"
"VINCI";"Deloitte";"8,9";"10";"9,9";"0,2";"0,2";"0,1";"KPMG";"8,8";"9,3";"9,3";"0,2";"0,2";"0,2";"17,7";"0,4";"18,1";"2,21%";"8,29%";"0,00%";"8,12%";"19,3";"0,4";"19,7";"0,52%";"33,33%"
"VIVENDI";"E&Y";"6,5";"7,5";"7,6";"1";"0,3";"0,2";"KPMG";"8,1";"4,9";"5,6";"1,6";"0,2";"0,8";"14,6";"2,6";"17,2";"15,12%";"17,74%";"420,00%";"33,33%";"12,4";"0,5";"12,9";"6,06%";"50,00%"
